// NAME;ID;URL;VERSION1,VERSION2;DEPENDENCY1,DEPENDENCY2
StupsiMod;stupsimod-0;http://diruptio.de/stupsimod/download/stupsimod-0.2.5.jar;fabric-1.19.3;
OptiFine;optifine-1.14.4;https://optifine.net/downloadx?f=OptiFine_1.14.4_HD_U_G5.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.14.4;
OptiFine;optifine-1.15.2;https://optifine.net/downloadx?f=OptiFine_1.15.2_HD_U_G6.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.15.2;
OptiFine;optifine-1.16.1;https://optifine.net/downloadx?f=OptiFine_1.16.1_HD_U_G2.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.16.1;
OptiFine;optifine-1.16.2;https://optifine.net/downloadx?f=OptiFine_1.16.2_HD_U_G5.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.16.2;
OptiFine;optifine-1.16.3;https://optifine.net/downloadx?f=OptiFine_1.16.3_HD_U_G5.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.16.3;
OptiFine;optifine-1.16.4;https://optifine.net/downloadx?f=OptiFine_1.16.4_HD_U_G7.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.16.4;
OptiFine;optifine-1.16.5;https://optifine.net/downloadx?f=OptiFine_1.16.5_HD_U_G8.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.16.5;
OptiFine;optifine-1.17;https://optifine.net/downloadx?f=preview_OptiFine_1.17_HD_U_G9_pre26.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.17;
OptiFine;optifine-1.17.1;https://optifine.net/downloadx?f=preview_OptiFine_1.17.1_HD_U_H2_pre1.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.17.1;
OptiFine;optifine-1.18;https://optifine.net/downloadx?f=OptiFine_1.18_HD_U_H3.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.18;
OptiFine;optifine-1.18.1;https://optifine.net/downloadx?f=OptiFine_1.18.1_HD_U_H6.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.18.1;
OptiFine;optifine-1.18.2;https://optifine.net/downloadx?f=preview_OptiFine_1.18.2_HD_U_H9_pre2.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.18.2;
OptiFine;optifine-1.19;https://optifine.net/downloadx?f=OptiFine_1.19_HD_U_H9.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.19;
OptiFine;optifine-1.19.1;https://optifine.net/downloadx?f=OptiFine_1.19.1_HD_U_H9.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.19.1;
OptiFine;optifine-1.19.2;https://optifine.net/downloadx?f=OptiFine_1.19.2_HD_U_I1.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.19.2;
OptiFine;optifine-1.19.3;https://optifine.net/downloadx?f=preview_OptiFine_1.19.3_HD_U_I2_pre3.jar&x=73b2705464d3398653afd2cc8e35565b;forge-1.19.3;
